y;x;editions;leftlambert;toplambert;rightlambert;lambert;west;north;east;south
39;43;1982;610200;130624;610800;130224;2.47556635;48.87597380;2.48373578;48.87236652
39;44;1982;610800;130624;611400;130224;2.48374639;48.87596360;2.49191523;48.87235574
39;45;1983;611400;130624;612000;130224;2.49192643;48.87595282;2.50009467;48.87234437
39;46;1962;612000;130624;612600;130224;2.50010646;48.87594145;2.50827411;48.87233241
39;47;1993;612600;130624;613200;130224;2.50828649;48.87592949;2.51645355;48.87231987
39;48;1993;613200;130624;613800;130224;2.51646652;48.87591695;2.52463298;48.87230674
40;6;1973;588000;130224;588600;129824;2.17291602;48.87234231;2.18110676;48.86875670
40;7;1973;588600;130224;589200;129824;2.18109547;48.87235379;2.18928562;48.86876759
40;10;1950;590400;130224;591000;129824;2.20563381;48.87238469;2.21382220;48.86879673
40;11;1950;591000;130224;591600;129824;2.21381327;48.87239382;2.22200107;48.86880528
40;18;1956 1956-HD;595200;130224;595800;129824;2.27106953;48.87244133;2.27925320;48.86884868
40;19;1956 1956-HD;595800;130224;596400;129824;2.27924900;48.87244577;2.28743208;48.86885254
40;21;1855;597000;130224;597600;129824;2.29560795;48.87245291;2.30378985;48.86885850
40;31;1924 1964-HD;603000;130224;603600;129824;2.37740274;48.87245342;2.38557871;48.86885316
40;32;1965 1965-HD;603600;130224;604200;129824;2.38558221;48.87245025;2.39375760;48.86884940
40;36;1962;606000;130224;606600;129824;2.41830010;48.87243171;2.42647311;48.86882852
40;43;1982;610200;130224;610800;129824;2.47555633;48.87237672;2.48372518;48.86876944
40;46;1972;612000;130224;612600;129824;2.50009467;48.87234437;2.50826173;48.86873533
40;47;1972;612600;130224;613200;129824;2.50827411;48.87233241;2.51644058;48.86872279
40;48;1972;613200;130224;613800;129824;2.51645355;48.87231987;2.52461942;48.86870966
41;3;1977;586200;129824;586800;129424;2.14839139;48.86870730;2.15658330;48.86512345
41;4;1977;586800;129824;587400;129424;2.15657023;48.86872053;2.16476155;48.86513609
41;5;1973;587400;129824;588000;129424;2.16474907;48.86873317;2.17293980;48.86514815
41;10;1973;590400;129824;591000;129424;2.20564334;48.86878761;2.21383113;48.86519965
41;11;1950;591000;129824;591600;129424;2.21382220;48.86879673;2.22200940;48.86520819
41;18;1957-v1 1957-v2 1957-HD;595200;129824;595800;129424;2.27107432;48.86884424;2.27925739;48.86525160
41;19;1956-v1 1956-v2 1981 1956-HD;595800;129824;596400;129424;2.27925320;48.86884868;2.28743568;48.86525545
41;20;1855 1955 1955-HD;596400;129824;597000;129424;2.28743208;48.86885254;2.29561398;48.86525873
41;21;1855 1905 1955 1955-HD;597000;129824;597600;129424;2.29561096;48.86885582;2.30379227;48.86526141
41;32;1923 2001-HD;603600;129824;604200;129424;2.38557871;48.86885316;2.39375350;48.86525231
41;33;1923 2001-HD;604200;129824;604800;129424;2.39375760;48.86884940;2.40193179;48.86524797
41;34;1967 1967-HD;604800;129824;605400;129424;2.40193648;48.86884506;2.41011008;48.86524305
41;36;1962 1991;606000;129824;606600;129424;2.41829424;48.86883462;2.42646666;48.86523144
41;46;1972;612000;129824;612600;129424;2.50008289;48.86874728;2.50824936;48.86513825
41;47;1973;612600;129824;613200;129424;2.50826173;48.86873533;2.51642761;48.86512571
